========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
1374    SUCCESS    3        25        9        1        10            0
3716    SUCCESS    5        39        9        1        10            0
409    SUCCESS    4        30        18        1        19            0
526    SUCCESS    5        38        18        1        19            0
5668    SUCCESS    6        52        18        1        19            0
829    SUCCESS    3        18        27        1        28            0
3665    SUCCESS    6        52        9        19        28            18
1247    SUCCESS    1        2        36        1        37            0
2769    SUCCESS    2        10        36        1        37            0
1328    SUCCESS    4        32        36        1        37            0
2261    SUCCESS    6        53        36        1        37            0
4922    SUCCESS    1        8        45        1        46            0
3650    SUCCESS    4        31        45        1        46            0
4981    SUCCESS    2        12        54        1        55            0
7073    SUCCESS    6        51        54        1        55            0
5842    SUCCESS    2        17        63        1        64            0
3714    SUCCESS    5        44        63        1        64            0
8115    SUCCESS    2        14        72        1        73            0
393    SUCCESS    2        17        9        64        73            63
5852    SUCCESS    3        19        72        1        73            0
6660    SUCCESS    3        26        72        1        73            0
3920    SUCCESS    4        33        72        1        73            0
3332    SUCCESS    5        36        72        1        73            0
2205    SUCCESS    6        50        72        1        73            0
8058    SUCCESS    2        15        81        1        82            0
6547    SUCCESS    2        10        45        37        82            36
3628    SUCCESS    2        16        81        1        82            0
2933    SUCCESS    2        11        81        1        82            0
8134    SUCCESS    4        27        81        1        82            0
6623    SUCCESS    4        33        9        73        82            72
351    SUCCESS    4        29        81        1        82            0
4757    SUCCESS    1        1        90        1        91            0
4021    SUCCESS    3        23        90        1        91            0
1267    SUCCESS    3        26        18        73        91            72
7922    SUCCESS    5        37        90        1        91            0
2147    SUCCESS    5        44        27        64        91            63
5665    SUCCESS    6        49        90        1        91            0
5790    SUCCESS    2        17        27        73        1,00            72
5691    SUCCESS    3        21        99        1        1,00            0
835    SUCCESS    3        26        9        91        1,00            90
5319    SUCCESS    4        31        54        46        1,00            45
2457    SUCCESS    4        35        99        1        1,00            0
2092    SUCCESS    5        41        99        1        1,00            0
576    SUCCESS    5        44        9        91        1,00            90
5337    SUCCESS    6        48        99        1        1,00            0
5640    SUCCESS    3        24        1,08        1        1,09            0
2047    SUCCESS    6        53        72        37        1,09            36
6698    SUCCESS    1        0        1,17        1        1,18            0
4607    SUCCESS    2        11        36        82        1,18            81
5149    SUCCESS    3        25        1,08        10        1,18            9
8554    SUCCESS    3        20        1,17        1        1,18            0
8506    SUCCESS    4        33        36        82        1,18            81
543    SUCCESS    1        5        1,26        1        1,27            0
7653    SUCCESS    5        42        1,26        1        1,27            0
914    SUCCESS    6        49        36        91        1,27            90
3790    SUCCESS    2        16        54        82        1,36            81
3483    SUCCESS    4        35        36        1,00        1,36            99
1504    SUCCESS    6        45        1,35        1        1,36            0
2821    SUCCESS    2        12        90        55        1,45            54
673    SUCCESS    3        19        72        73        1,45            72
1662    SUCCESS    5        40        1,44        1        1,45            0
2382    SUCCESS    1        6        1,53        1        1,54            0
5794    SUCCESS    2        11        36        1,18        1,54            1,17
1014    SUCCESS    5        38        1,35        19        1,54            18
6144    SUCCESS    5        41        54        1,00        1,54            99
7768    SUCCESS    6        46        1,53        1        1,54            0
2966    SUCCESS    6        49        27        1,27        1,54            1,26
1525    SUCCESS    2        17        63        1,00        1,63            99
5696    SUCCESS    3        18        1,35        28        1,63            27
3103    SUCCESS    3        26        63        1,00        1,63            99
3652    SUCCESS    4        34        1,62        1        1,63            0
7143    SUCCESS    2        14        99        73        1,72            72
6792    SUCCESS    5        41        18        1,54        1,72            1,53
3503    SUCCESS    6        46        18        1,54        1,72            1,53
1589    SUCCESS    3        21        81        1,00        1,81            99
1863    SUCCESS    4        32        1,44        37        1,81            36
6203    SUCCESS    6        52        1,62        28        1,90            27
226    SUCCESS    2        14        27        1,72        1,99            1,71
3972    SUCCESS    4        31        99        1,00        1,99            99
8793    SUCCESS    6        47        1,98        1        1,99            0
7198    SUCCESS    2        14        9        1,99        2,08            1,98
3965    SUCCESS    3        18        45        1,63        2,08            1,62
6514    SUCCESS    4        27        1,26        82        2,08            81
3022    SUCCESS    6        50        1,35        73        2,08            72
1299    SUCCESS    1        5        90        1,27        2,17            1,26
1149    SUCCESS    2        10        1,35        82        2,17            81
