========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
1254    SUCCESS    2        9        9        1        10            0
6581    SUCCESS    6        47        18        1        19            0
2710    SUCCESS    2        14        27        1        28            0
7528    SUCCESS    3        19        27        1        28            0
2931    SUCCESS    2        17        45        1        46            0
4644    SUCCESS    1        7        54        1        55            0
2554    SUCCESS    2        14        27        28        55            27
6146    SUCCESS    5        42        54        1        55            0
3497    SUCCESS    5        44        54        1        55            0
2714    SUCCESS    2        15        63        1        64            0
5481    SUCCESS    4        32        63        1        64            0
948    SUCCESS    4        35        63        1        64            0
5943    SUCCESS    1        5        72        1        73            0
411    SUCCESS    4        30        72        1        73            0
352    SUCCESS    4        34        72        1        73            0
7291    SUCCESS    1        3        81        1        82            0
1955    SUCCESS    2        13        81        1        82            0
2938    SUCCESS    3        22        81        1        82            0
3346    SUCCESS    6        45        81        1        82            0
3485    SUCCESS    4        29        90        1        91            0
7017    SUCCESS    6        51        90        1        91            0
5192    SUCCESS    1        1        99        1        1,00            0
1699    SUCCESS    3        24        99        1        1,00            0
72    SUCCESS    3        20        99        1        1,00            0
5752    SUCCESS    4        34        27        73        1,00            72
3551    SUCCESS    5        44        45        55        1,00            54
5438    SUCCESS    5        36        1,08        1        1,09            0
7720    SUCCESS    6        49        1,08        1        1,09            0
1350    SUCCESS    1        5        45        73        1,18            72
6879    SUCCESS    3        25        1,17        1        1,18            0
672    SUCCESS    3        26        1,17        1        1,18            0
1769    SUCCESS    5        36        9        1,09        1,18            1,08
5498    SUCCESS    5        41        1,17        1        1,18            0
1024    SUCCESS    6        53        1,17        1        1,18            0
581    SUCCESS    5        37        1,26        1        1,27            0
6798    SUCCESS    6        48        1,26        1        1,27            0
4427    SUCCESS    6        49        18        1,09        1,27            1,08
7240    SUCCESS    1        8        1,35        1        1,36            0
5843    SUCCESS    2        11        1,35        1        1,36            0
2286    SUCCESS    3        18        1,35        1        1,36            0
3967    SUCCESS    3        23        1,35        1        1,36            0
2084    SUCCESS    4        35        72        64        1,36            63
1137    SUCCESS    1        2        1,44        1        1,45            0
1545    SUCCESS    4        28        1,44        1        1,45            0
1902    SUCCESS    2        16        1,53        1        1,54            0
1490    SUCCESS    4        33        1,53        1        1,54            0
8248    SUCCESS    5        36        36        1,18        1,54            1,17
5824    SUCCESS    6        45        72        82        1,54            81
8524    SUCCESS    6        46        1,53        1        1,54            0
5125    SUCCESS    6        49        27        1,27        1,54            1,26
271    SUCCESS    1        0        1,62        1        1,63            0
6980    SUCCESS    2        11        27        1,36        1,63            1,35
1958    SUCCESS    2        17        1,17        46        1,63            45
316    SUCCESS    6        51        72        91        1,63            90
7141    SUCCESS    2        17        9        1,63        1,72            1,62
8858    SUCCESS    1        4        1,80        1        1,81            0
5649    SUCCESS    4        31        1,80        1        1,81            0
4837    SUCCESS    4        29        90        91        1,81            90
1950    SUCCESS    1        0        27        1,63        1,90            1,62
6163    SUCCESS    1        5        72        1,18        1,90            1,17
666    SUCCESS    3        21        1,89        1        1,90            0
6067    SUCCESS    3        19        1,62        28        1,90            27
1217    SUCCESS    4        34        90        1,00        1,90            99
6407    SUCCESS    4        32        1,26        64        1,90            63
8893    SUCCESS    5        38        1,89        1        1,90            0
5117    SUCCESS    5        44        90        1,00        1,90            99
3476    SUCCESS    3        20        99        1,00        1,99            99
3391    SUCCESS    5        39        1,98        1        1,99            0
8897    SUCCESS    5        40        1,98        1        1,99            0
4310    SUCCESS    5        41        81        1,18        1,99            1,17
6972    SUCCESS    1        3        1,26        82        2,08            81
8588    SUCCESS    1        4        27        1,81        2,08            1,80
5201    SUCCESS    2        13        1,26        82        2,08            81
4228    SUCCESS    2        14        1,53        55        2,08            54
6153    SUCCESS    6        51        45        1,63        2,08            1,62
2226    SUCCESS    2        12        2,16        1        2,17            0
775    SUCCESS    3        26        99        1,18        2,17            1,17
1811    SUCCESS    4        27        2,16        1        2,17            0
3518    SUCCESS    1        7        1,71        55        2,26            54
4005    SUCCESS    2        15        1,62        64        2,26            63
5330    SUCCESS    5        36        72        1,54        2,26            1,53
1499    SUCCESS    5        37        99        1,27        2,26            1,26
4256    SUCCESS    5        41        27        1,99        2,26            1,98
6642    SUCCESS    1        8        99        1,36        2,35            1,35
5469    SUCCESS    2        12        18        2,17        2,35            2,16
2074    SUCCESS    3        21        45        1,90        2,35            1,89
3640    SUCCESS    3        22        1,53        82        2,35            81
1830    SUCCESS    6        48        1,17        1,27        2,44            1,26
8181    SUCCESS    4        29        72        1,81        2,53            1,80
5126    SUCCESS    6        49        99        1,54        2,53            1,53
8909    SUCCESS    6        52        2,52        1        2,53            0
8786    SUCCESS    5        43        2,61        1        2,62            0
7400    SUCCESS    1        4        63        2,08        2,71            2,07
6978    SUCCESS    2        16        1,17        1,54        2,71            1,53
3738    SUCCESS    2        14        63        2,08        2,71            2,07
2024    SUCCESS    3        22        36        2,35        2,71            2,34
8576    SUCCESS    5        42        2,16        55        2,71            54
6344    SUCCESS    3        20        81        1,99        2,80            1,98
3265    SUCCESS    3        23        1,44        1,36        2,80            1,35
85    SUCCESS    4        30        2,07        73        2,80            72
267    SUCCESS    6        51        72        2,08        2,80            2,07
8566    SUCCESS    4        27        72        2,17        2,89            2,16
6896    SUCCESS    5        43        27        2,62        2,89            2,61
6431    SUCCESS    1        7        72        2,26        2,98            2,25
2173    SUCCESS    2        11        1,35        1,63        2,98            1,62
674    SUCCESS    3        19        1,08        1,90        2,98            1,89
4516    SUCCESS    4        30        18        2,80        2,98            2,79
2190    SUCCESS    4        34        1,08        1,90        2,98            1,89
6784    SUCCESS    4        29        45        2,53        2,98            2,52
5832    SUCCESS    1        8        72        2,35        3,07            2,34
4450    SUCCESS    3        22        36        2,71        3,07            2,70
3328    SUCCESS    4        32        1,17        1,90        3,07            1,89
5412    SUCCESS    2        15        90        2,26        3,16            2,25
514    SUCCESS    4        34        18        2,98        3,16            2,97
8089    SUCCESS    5        38        1,26        1,90        3,16            1,89
2754    SUCCESS    1        5        1,35        1,90        3,25            1,89
1319    SUCCESS    3        23        45        2,80        3,25            2,79
1117    SUCCESS    5        42        54        2,71        3,25            2,70
5923    SUCCESS    5        40        1,26        1,99        3,25            1,98
4472    SUCCESS    5        41        99        2,26        3,25            2,25
2769    SUCCESS    2        11        36        2,98        3,34            2,97
8407    SUCCESS    5        38        18        3,16        3,34            3,15
903    SUCCESS    5        44        1,44        1,90        3,34            1,89
5356    SUCCESS    2        16        72        2,71        3,43            2,70
1536    SUCCESS    3        22        36        3,07        3,43            3,06
2034    SUCCESS    5        37        1,17        2,26        3,43            2,25
5999    SUCCESS    1        7        54        2,98        3,52            2,97
4591    SUCCESS    1        5        27        3,25        3,52            3,24
6495    SUCCESS    2        16        9        3,43        3,52            3,42
400    SUCCESS    3        19        54        2,98        3,52            2,97
4833    SUCCESS    4        29        54        2,98        3,52            2,97
1459    SUCCESS    1        0        1,71        1,90        3,61            1,89
5036    SUCCESS    2        15        45        3,16        3,61            3,15
1061    SUCCESS    4        31        1,80        1,81        3,61            1,80
6898    SUCCESS    5        36        1,35        2,26        3,61            2,25
6086    SUCCESS    5        43        72        2,89        3,61            2,88
2796    SUCCESS    5        38        27        3,34        3,61            3,33
6487    SUCCESS    1        5        18        3,52        3,70            3,51
4670    SUCCESS    3        26        1,53        2,17        3,70            2,16
5670    SUCCESS    1        8        72        3,07        3,79            3,06
1218    SUCCESS    4        30        81        2,98        3,79            2,97
7327    SUCCESS    5        38        18        3,61        3,79            3,60
5712    SUCCESS    5        41        54        3,25        3,79            3,24
115    SUCCESS    1        3        1,80        2,08        3,88            2,07
1474    SUCCESS    2        13        1,80        2,08        3,88            2,07
7593    SUCCESS    4        30        9        3,79        3,88            3,78
3382    SUCCESS    4        32        81        3,07        3,88            3,06
3276    SUCCESS    5        39        1,89        1,99        3,88            1,98
7850    SUCCESS    3        21        1,62        2,35        3,97            2,34
2613    SUCCESS    3        26        27        3,70        3,97            3,69
3971    SUCCESS    4        29        45        3,52        3,97            3,51
2855    SUCCESS    6        48        1,53        2,44        3,97            2,43
8040    SUCCESS    6        52        1,44        2,53        3,97            2,52
6437    SUCCESS    2        13        18        3,88        4,06            3,87
4282    SUCCESS    2        14        1,35        2,71        4,06            2,70
2410    SUCCESS    4        32        18        3,88        4,06            3,87
7666    SUCCESS    6        49        1,53        2,53        4,06            2,52
3187    SUCCESS    1        5        45        3,70        4,15            3,69
188    SUCCESS    3        20        1,35        2,80        4,15            2,79
8648    SUCCESS    1        2        2,79        1,45        4,24            1,44
2797    SUCCESS    5        44        90        3,34        4,24            3,33
99    SUCCESS    6        52        27        3,97        4,24            3,96
7778    SUCCESS    1        4        1,62        2,71        4,33            2,70
7074    SUCCESS    1        8        54        3,79        4,33            3,78
6606    SUCCESS    3        21        36        3,97        4,33            3,96
1182    SUCCESS    6        52        9        4,24        4,33            4,23
1730    SUCCESS    1        7        90        3,52        4,42            3,51
4723    SUCCESS    3        23        1,17        3,25        4,42            3,24
1494    SUCCESS    5        37        99        3,43        4,42            3,42
3133    SUCCESS    1        5        36        4,15        4,51            4,14
8708    SUCCESS    2        9        4,41        10        4,51            9
6543    SUCCESS    2        16        99        3,52        4,51            3,51
5228    SUCCESS    5        41        72        3,79        4,51            3,78
8849    SUCCESS    6        45        2,97        1,54        4,51            1,53
5250    SUCCESS    2        15        99        3,61        4,60            3,60
8    SUCCESS    1        4        36        4,33        4,69            4,32
2658    SUCCESS    2        11        1,35        3,34        4,69            3,33
198    SUCCESS    5        42        1,44        3,25        4,69            3,24
7767    SUCCESS    6        51        1,89        2,80        4,69            2,79
811    SUCCESS    1        8        45        4,33        4,78            4,32
1428    SUCCESS    3        22        1,35        3,43        4,78            3,42
358    SUCCESS    4        32        72        4,06        4,78            4,05
7704    SUCCESS    5        40        1,53        3,25        4,78            3,24
4418    SUCCESS    5        41        27        4,51        4,78            4,50
8525    SUCCESS    6        45        27        4,51        4,78            4,50
3165    SUCCESS    4        34        1,71        3,16        4,87            3,15
3070    SUCCESS    6        48        90        3,97        4,87            3,96
3919    SUCCESS    4        27        2,07        2,89        4,96            2,88
1491    SUCCESS    4        30        1,08        3,88        4,96            3,87
5883    SUCCESS    6        51        27        4,69        4,96            4,68
1141    SUCCESS    1        2        81        4,24        5,05            4,23
7259    SUCCESS    3        19        1,53        3,52        5,05            3,51
5696    SUCCESS    3        20        90        4,15        5,05            4,14
3747    SUCCESS    3        26        1,08        3,97        5,05            3,96
5119    SUCCESS    5        39        1,17        3,88        5,05            3,87
6597    SUCCESS    2        16        63        4,51        5,14            4,50
8559    SUCCESS    4        29        1,17        3,97        5,14            3,96
3591    SUCCESS    4        32        36        4,78        5,14            4,77
6210    SUCCESS    1        8        45        4,78        5,23            4,77
4038    SUCCESS    5        41        45        4,78        5,23            4,77
1353    SUCCESS    1        2        27        5,05        5,32            5,04
1478    SUCCESS    3        21        99        4,33        5,32            4,32
930    SUCCESS    2        13        1,35        4,06        5,41            4,05
4281    SUCCESS    2        14        1,35        4,06        5,41            4,05
3007    SUCCESS    5        37        99        4,42        5,41            4,41
5508    SUCCESS    1        8        27        5,23        5,50            5,22
9031    SUCCESS    2        17        3,78        1,72        5,50            1,71
5060    SUCCESS    5        36        1,89        3,61        5,50            3,60
