========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
3427    SUCCESS    3        25        9        1        10            0
1074    SUCCESS    6        52        9        1        10            0
6331    SUCCESS    2        13        18        1        19            0
2354    SUCCESS    4        29        18        1        19            0
6577    SUCCESS    5        41        18        1        19            0
5548    SUCCESS    5        44        18        1        19            0
3504    SUCCESS    6        52        9        10        19            9
6641    SUCCESS    6        47        18        1        19            0
3469    SUCCESS    2        11        27        1        28            0
4398    SUCCESS    3        19        27        1        28            0
5752    SUCCESS    4        33        27        1        28            0
3113    SUCCESS    4        28        27        1        28            0
3287    SUCCESS    6        48        27        1        28            0
2637    SUCCESS    6        46        27        1        28            0
6334    SUCCESS    2        11        9        28        37            27
3323    SUCCESS    4        29        18        19        37            18
8248    SUCCESS    5        39        36        1        37            0
7529    SUCCESS    3        24        45        1        46            0
7516    SUCCESS    2        10        54        1        55            0
2731    SUCCESS    4        35        54        1        55            0
6270    SUCCESS    1        0        63        1        64            0
2493    SUCCESS    2        17        72        1        73            0
3475    SUCCESS    3        26        72        1        73            0
5812    SUCCESS    4        35        18        55        73            54
108    SUCCESS    1        1        81        1        82            0
6231    SUCCESS    3        23        81        1        82            0
7449    SUCCESS    6        48        54        28        82            27
1571    SUCCESS    1        7        90        1        91            0
2875    SUCCESS    2        14        90        1        91            0
5805    SUCCESS    4        31        90        1        91            0
1586    SUCCESS    3        18        99        1        1,00            0
8014    SUCCESS    3        21        99        1        1,00            0
6502    SUCCESS    3        19        72        28        1,00            27
5528    SUCCESS    3        22        99        1        1,00            0
509    SUCCESS    3        20        99        1        1,00            0
1858    SUCCESS    3        23        18        82        1,00            81
1269    SUCCESS    4        31        9        91        1,00            90
2565    SUCCESS    4        34        99        1        1,00            0
5507    SUCCESS    6        46        72        28        1,00            27
209    SUCCESS    6        52        81        19        1,00            18
2922    SUCCESS    1        0        45        64        1,09            63
222    SUCCESS    1        2        1,08        1        1,09            0
3708    SUCCESS    5        40        1,08        1        1,09            0
1876    SUCCESS    5        38        1,08        1        1,09            0
274    SUCCESS    1        6        1,17        1        1,18            0
3972    SUCCESS    4        29        81        37        1,18            36
7128    SUCCESS    1        7        36        91        1,27            90
5313    SUCCESS    3        25        1,17        10        1,27            9
5329    SUCCESS    5        36        1,26        1        1,27            0
524    SUCCESS    5        43        1,26        1        1,27            0
4800    SUCCESS    6        49        1,26        1        1,27            0
6919    SUCCESS    1        8        1,35        1        1,36            0
4066    SUCCESS    2        9        1,35        1        1,36            0
7466    SUCCESS    2        13        1,17        19        1,36            18
944    SUCCESS    3        25        9        1,27        1,36            1,26
2341    SUCCESS    3        20        36        1,00        1,36            99
4774    SUCCESS    3        26        63        73        1,36            72
8143    SUCCESS    5        41        1,17        19        1,36            18
3145    SUCCESS    2        16        1,44        1        1,45            0
8487    SUCCESS    2        14        54        91        1,45            90
48    SUCCESS    6        53        1,44        1        1,45            0
4490    SUCCESS    1        3        1,53        1        1,54            0
2983    SUCCESS    2        14        9        1,45        1,54            1,44
3062    SUCCESS    5        37        1,53        1        1,54            0
643    SUCCESS    6        50        1,53        1        1,54            0
4538    SUCCESS    1        4        1,62        1        1,63            0
7299    SUCCESS    2        14        9        1,54        1,63            1,53
1646    SUCCESS    3        25        27        1,36        1,63            1,35
7104    SUCCESS    4        33        1,35        28        1,63            27
6238    SUCCESS    4        28        1,35        28        1,63            27
205    SUCCESS    5        43        36        1,27        1,63            1,26
3797    SUCCESS    2        16        27        1,45        1,72            1,44
4252    SUCCESS    5        38        63        1,09        1,72            1,08
8908    SUCCESS    6        47        1,53        19        1,72            18
233    SUCCESS    2        16        9        1,72        1,81            1,71
6434    SUCCESS    1        0        81        1,09        1,90            1,08
6426    SUCCESS    1        7        63        1,27        1,90            1,26
2656    SUCCESS    2        15        1,89        1        1,90            0
4502    SUCCESS    3        20        54        1,36        1,90            1,35
580    SUCCESS    5        37        36        1,54        1,90            1,53
1349    SUCCESS    6        49        63        1,27        1,90            1,26
5233    SUCCESS    6        53        45        1,45        1,90            1,44
4160    SUCCESS    1        4        36        1,63        1,99            1,62
2071    SUCCESS    3        20        9        1,90        1,99            1,89
413    SUCCESS    4        28        36        1,63        1,99            1,62
6246    SUCCESS    5        42        1,98        1        1,99            0
3492    SUCCESS    5        40        90        1,09        1,99            1,08
1802    SUCCESS    3        18        1,08        1,00        2,08            99
1766    SUCCESS    5        43        45        1,63        2,08            1,62
6908    SUCCESS    6        45        2,07        1        2,08            0
5499    SUCCESS    6        52        1,08        1,00        2,08            99
1853    SUCCESS    2        9        81        1,36        2,17            1,35
4927    SUCCESS    2        10        1,71        55        2,26            54
4524    SUCCESS    5        39        1,89        37        2,26            36
111    SUCCESS    1        1        1,53        82        2,35            81
7801    SUCCESS    3        24        1,89        46        2,35            45
2370    SUCCESS    6        52        27        2,08        2,35            2,07
2913    SUCCESS    6        53        45        1,90        2,35            1,89
109    SUCCESS    1        1        9        2,35        2,44            2,34
925    SUCCESS    1        2        1,35        1,09        2,44            1,08
5953    SUCCESS    2        13        1,08        1,36        2,44            1,35
6505    SUCCESS    3        19        1,44        1,00        2,44            99
5869    SUCCESS    5        36        1,17        1,27        2,44            1,26
4051    SUCCESS    1        2        9        2,44        2,53            2,43
6079    SUCCESS    4        33        90        1,63        2,53            1,62
3433    SUCCESS    4        31        1,53        1,00        2,53            99
1499    SUCCESS    5        38        81        1,72        2,53            1,71
7080    SUCCESS    1        6        1,53        1,18        2,71            1,17
4815    SUCCESS    2        9        54        2,17        2,71            2,16
8442    SUCCESS    3        22        1,71        1,00        2,71            99
8064    SUCCESS    3        25        1,08        1,63        2,71            1,62
7279    SUCCESS    5        41        1,35        1,36        2,71            1,35
6042    SUCCESS    6        49        81        1,90        2,71            1,89
7675    SUCCESS    1        8        1,44        1,36        2,80            1,35
3157    SUCCESS    3        25        18        2,71        2,89            2,70
1053    SUCCESS    4        28        90        1,99        2,89            1,98
1047    SUCCESS    3        18        90        2,08        2,98            2,07
6879    SUCCESS    3        20        99        1,99        2,98            1,98
6738    SUCCESS    5        39        72        2,26        2,98            2,25
6202    SUCCESS    6        50        1,44        1,54        2,98            1,53
5084    SUCCESS    1        3        1,53        1,54        3,07            1,53
3888    SUCCESS    1        6        36        2,71        3,07            2,70
6642    SUCCESS    1        7        1,17        1,90        3,07            1,89
166    SUCCESS    1        1        72        2,44        3,16            2,43
4753    SUCCESS    1        2        63        2,53        3,16            2,52
2549    SUCCESS    2        9        45        2,71        3,16            2,70
8886    SUCCESS    4        27        3,15        1        3,16            0
1717    SUCCESS    5        43        1,08        2,08        3,16            2,07
4147    SUCCESS    5        38        63        2,53        3,16            2,52
8747    SUCCESS    6        46        2,16        1,00        3,16            99
5236    SUCCESS    6        47        1,44        1,72        3,16            1,71
3142    SUCCESS    2        16        1,53        1,81        3,34            1,80
4287    SUCCESS    3        25        54        2,89        3,43            2,88
6117    SUCCESS    2        15        1,62        1,90        3,52            1,89
1014    SUCCESS    5        37        1,62        1,90        3,52            1,89
2437    SUCCESS    1        7        54        3,07        3,61            3,06
4397    SUCCESS    3        22        90        2,71        3,61            2,70
6905    SUCCESS    6        53        1,26        2,35        3,61            2,34
2253    SUCCESS    5        40        1,71        1,99        3,70            1,98
2699    SUCCESS    6        49        99        2,71        3,70            2,70
4067    SUCCESS    2        16        45        3,34        3,79            3,33
484    SUCCESS    6        46        63        3,16        3,79            3,15
5128    SUCCESS    6        47        63        3,16        3,79            3,15
9052    SUCCESS    4        32        3,87        1        3,88            0
4903    SUCCESS    5        41        1,17        2,71        3,88            2,70
2475    SUCCESS    6        46        9        3,79        3,88            3,78
2603    SUCCESS    2        9        81        3,16        3,97            3,15
9    SUCCESS    2        16        18        3,79        3,97            3,78
1402    SUCCESS    6        52        1,71        2,35        4,06            2,34
404    SUCCESS    3        20        1,17        2,98        4,15            2,97
3757    SUCCESS    4        31        1,62        2,53        4,15            2,52
4149    SUCCESS    6        46        27        3,88        4,15            3,87
7999    SUCCESS    1        8        1,44        2,80        4,24            2,79
8866    SUCCESS    2        10        1,98        2,26        4,24            2,25
4182    SUCCESS    3        19        1,80        2,44        4,24            2,43
7158    SUCCESS    4        33        1,71        2,53        4,24            2,52
8567    SUCCESS    4        28        1,35        2,89        4,24            2,88
3117    SUCCESS    5        38        1,08        3,16        4,24            3,15
2103    SUCCESS    6        53        63        3,61        4,24            3,60
2364    SUCCESS    5        39        1,35        2,98        4,33            2,97
1616    SUCCESS    6        47        54        3,79        4,33            3,78
6487    SUCCESS    1        8        18        4,24        4,42            4,23
6232    SUCCESS    3        24        2,07        2,35        4,42            2,34
3822    SUCCESS    5        41        54        3,88        4,42            3,87
805    SUCCESS    6        50        1,44        2,98        4,42            2,97
7689    SUCCESS    3        22        90        3,61        4,51            3,60
6207    SUCCESS    6        47        18        4,33        4,51            4,32
2541    SUCCESS    1        3        1,53        3,07        4,60            3,06
8052    SUCCESS    1        6        1,53        3,07        4,60            3,06
1947    SUCCESS    1        2        1,44        3,16        4,60            3,15
6503    SUCCESS    3        24        18        4,42        4,60            4,41
795    SUCCESS    5        36        2,16        2,44        4,60            2,43
4197    SUCCESS    5        43        1,44        3,16        4,60            3,15
6257    SUCCESS    6        53        36        4,24        4,60            4,23
1641    SUCCESS    3        18        1,71        2,98        4,69            2,97
7956    SUCCESS    3        25        1,26        3,43        4,69            3,42
8515    SUCCESS    5        36        18        4,60        4,78            4,59
2200    SUCCESS    5        38        54        4,24        4,78            4,23
315    SUCCESS    6        49        1,08        3,70        4,78            3,69
5    SUCCESS    1        8        45        4,42        4,87            4,41
551    SUCCESS    2        9        90        3,97        4,87            3,96
8229    SUCCESS    3        18        18        4,69        4,87            4,68
4556    SUCCESS    3        20        72        4,15        4,87            4,14
2905    SUCCESS    5        40        1,17        3,70        4,87            3,69
1206    SUCCESS    3        24        36        4,60        4,96            4,59
6667    SUCCESS    3        19        72        4,24        4,96            4,23
5205    SUCCESS    3        25        27        4,69        4,96            4,68
1662    SUCCESS    5        37        1,44        3,52        4,96            3,51
855    SUCCESS    6        47        45        4,51        4,96            4,50
4383    SUCCESS    2        16        1,08        3,97        5,05            3,96
1085    SUCCESS    1        7        1,53        3,61        5,14            3,60
8388    SUCCESS    3        22        63        4,51        5,14            4,50
6836    SUCCESS    4        27        1,98        3,16        5,14            3,15
3753    SUCCESS    4        32        1,26        3,88        5,14            3,87
1394    SUCCESS    5        38        36        4,78        5,14            4,77
1843    SUCCESS    1        2        63        4,60        5,23            4,59
5247    SUCCESS    2        9        36        4,87        5,23            4,86
4915    SUCCESS    1        2        9        5,23        5,32            5,22
6451    SUCCESS    3        19        36        4,96        5,32            4,95
4623    SUCCESS    4        31        1,17        4,15        5,32            4,14
1466    SUCCESS    1        3        81        4,60        5,41            4,59
4756    SUCCESS    1        6        81        4,60        5,41            4,59
150    SUCCESS    5        37        45        4,96        5,41            4,95
1252    SUCCESS    2        15        1,98        3,52        5,50            3,51
9041    SUCCESS    3        26        4,14        1,36        5,50            1,35
1682    SUCCESS    1        3        18        5,41        5,59            5,40
388    SUCCESS    2        10        1,35        4,24        5,59            4,23
5100    SUCCESS    3        22        45        5,14        5,59            5,13
5582    SUCCESS    3        22        9        5,59        5,68            5,58
2091    SUCCESS    5        36        90        4,78        5,68            4,77
8089    SUCCESS    5        41        1,26        4,42        5,68            4,41
2964    SUCCESS    6        52        1,62        4,06        5,68            4,05
6074    SUCCESS    3        26        27        5,50        5,77            5,49
8395    SUCCESS    3        25        90        4,96        5,86            4,95
6904    SUCCESS    6        50        1,44        4,42        5,86            4,41
5353    SUCCESS    1        7        81        5,14        5,95            5,13
5920    SUCCESS    4        28        1,71        4,24        5,95            4,23
268    SUCCESS    6        46        1,80        4,15        5,95            4,14
1768    SUCCESS    5        37        63        5,41        6,04            5,40
5014    SUCCESS    6        50        18        5,86        6,04            5,85
7351    SUCCESS    1        8        1,26        4,87        6,13            4,86
5884    SUCCESS    6        47        1,17        4,96        6,13            4,95
3363    SUCCESS    2        9        99        5,23        6,22            5,22
5815    SUCCESS    5        36        54        5,68        6,22            5,67
1820    SUCCESS    5        40        1,35        4,87        6,22            4,86
2791    SUCCESS    5        43        1,62        4,60        6,22            4,59
2480    SUCCESS    6        47        9        6,13        6,22            6,12
159    SUCCESS    6        50        18        6,04        6,22            6,03
8976    SUCCESS    2        12        6,30        1        6,31            0
5917    SUCCESS    4        33        2,07        4,24        6,31            4,23
859    SUCCESS    6        50        9        6,22        6,31            6,21
4105    SUCCESS    1        2        1,08        5,32        6,40            5,31
1037    SUCCESS    2        9        18        6,22        6,40            6,21
3545    SUCCESS    4        27        1,26        5,14        6,40            5,13
4087    SUCCESS    5        37        36        6,04        6,40            6,03
3509    SUCCESS    6        49        1,62        4,78        6,40            4,77
5318    SUCCESS    3        24        1,53        4,96        6,49            4,95
3339    SUCCESS    6        46        54        5,95        6,49            5,94
8906    SUCCESS    6        53        1,89        4,60        6,49            4,59
3307    SUCCESS    2        16        1,53        5,05        6,58            5,04
4093    SUCCESS    5        38        1,44        5,14        6,58            5,13
4548    SUCCESS    2        10        1,08        5,59        6,67            5,58
2196    SUCCESS    5        43        45        6,22        6,67            6,21
3842    SUCCESS    1        3        1,17        5,59        6,76            5,58
2306    SUCCESS    5        43        9        6,67        6,76            6,66
4642    SUCCESS    6        52        1,08        5,68        6,76            5,67
2202    SUCCESS    5        41        1,26        5,68        6,94            5,67
8550    SUCCESS    3        25        1,17        5,86        7,03            5,85
5016    SUCCESS    6        49        63        6,40        7,03            6,39
6073    SUCCESS    3        19        1,80        5,32        7,12            5,31
1756    SUCCESS    4        33        81        6,31        7,12            6,30
2210    SUCCESS    6        47        99        6,22        7,21            6,21
3996    SUCCESS    1        6        1,89        5,41        7,30            5,40
1580    SUCCESS    2        12        99        6,31        7,30            6,30
2469    SUCCESS    5        40        1,08        6,22        7,30            6,21
1609    SUCCESS    5        43        54        6,76        7,30            6,75
6634    SUCCESS    6        50        99        6,31        7,30            6,30
8770    SUCCESS    3        20        2,52        4,87        7,39            4,86
1407    SUCCESS    1        2        1,08        6,40        7,48            6,39
9237    SUCCESS    1        5        7,56        1        7,57            0
7513    SUCCESS    1        8        1,44        6,13        7,57            6,12
3453    SUCCESS    6        53        1,08        6,49        7,57            6,48
1250    SUCCESS    1        3        90        6,76        7,66            6,75
6055    SUCCESS    1        7        1,71        5,95        7,66            5,94
2171    SUCCESS    2        9        1,26        6,40        7,66            6,39
3541    SUCCESS    4        28        1,71        5,95        7,66            5,94
581    SUCCESS    5        37        1,26        6,40        7,66            6,39
2144    SUCCESS    5        40        36        7,30        7,66            7,29
2383    SUCCESS    1        7        18        7,66        7,84            7,65
4429    SUCCESS    1        2        36        7,48        7,84            7,47
6379    SUCCESS    1        8        27        7,57        7,84            7,56
1658    SUCCESS    5        43        54        7,30        7,84            7,29
8110    SUCCESS    2        10        1,26        6,67        7,93            6,66
8878    SUCCESS    3        22        2,25        5,68        7,93            5,67
4254    SUCCESS    5        38        1,35        6,58        7,93            6,57
7242    SUCCESS    1        6        72        7,30        8,02            7,29
4811    SUCCESS    1        5        45        7,57        8,02            7,56
9008    SUCCESS    5        42        6,03        1,99        8,02            1,98
3963    SUCCESS    3        25        1,17        7,03        8,20            7,02
899    SUCCESS    4        28        54        7,66        8,20            7,65
1934    SUCCESS    5        38        27        7,93        8,20            7,92
3088    SUCCESS    2        9        63        7,66        8,29            7,65
3199    SUCCESS    2        16        1,71        6,58        8,29            6,57
7149    SUCCESS    3        20        90        7,39        8,29            7,38
5491    SUCCESS    5        36        2,07        6,22        8,29            6,21
7012    SUCCESS    6        50        99        7,30        8,29            7,29
1458    SUCCESS    1        7        54        7,84        8,38            7,83
3812    SUCCESS    4        33        1,26        7,12        8,38            7,11
2899    SUCCESS    5        43        54        7,84        8,38            7,83
1776    SUCCESS    6        52        1,62        6,76        8,38            6,75
1023    SUCCESS    6        53        81        7,57        8,38            7,56
182    SUCCESS    3        25        27        8,20        8,47            8,19
7701    SUCCESS    4        27        2,07        6,40        8,47            6,39
2124    SUCCESS    3        24        2,07        6,49        8,56            6,48
7740    SUCCESS    3        19        1,53        7,12        8,65            7,11
2455    SUCCESS    3        25        18        8,47        8,65            8,46
3769    SUCCESS    5        38        45        8,20        8,65            8,19
7050    SUCCESS    4        33        36        8,38        8,74            8,37
1336    SUCCESS    5        37        1,08        7,66        8,74            7,65
4721    SUCCESS    3        22        90        7,93        8,83            7,92
1835    SUCCESS    6        49        1,80        7,03        8,83            7,02
9077    SUCCESS    1        4        6,93        1,99        8,92            1,98
6211    SUCCESS    1        2        1,08        7,84        8,92            7,83
3606    SUCCESS    5        43        54        8,38        8,92            8,37
4049    SUCCESS    6        49        9        8,83        8,92            8,82
1928    SUCCESS    5        43        9        8,92        9,01            8,91
6485    SUCCESS    1        5        1,08        8,02        9,10            8,01
58    SUCCESS    1        8        1,26        7,84        9,10            7,83
2631    SUCCESS    5        38        45        8,65        9,10            8,64
4057    SUCCESS    1        7        90        8,38        9,28            8,37
7621    SUCCESS    1        8        18        9,10        9,28            9,09
287    SUCCESS    2        16        99        8,29        9,28            8,28
2203    SUCCESS    5        40        1,62        7,66        9,28            7,65
4360    SUCCESS    5        38        18        9,10        9,28            9,09
3253    SUCCESS    2        16        9        9,28        9,37            9,27
5775    SUCCESS    6        53        99        8,38        9,37            8,37
1465    SUCCESS    1        2        54        8,92        9,46            8,91
4357    SUCCESS    5        43        45        9,01        9,46            9,00
