========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
2826    SUCCESS    3        18        18        1        19            0
5639    SUCCESS    3        20        18        1        19            0
3130    SUCCESS    6        50        18        1        19            0
1528    SUCCESS    2        13        27        1        28            0
334    SUCCESS    2        11        27        1        28            0
670    SUCCESS    3        19        27        1        28            0
1810    SUCCESS    4        30        27        1        28            0
571    SUCCESS    4        32        27        1        28            0
477    SUCCESS    6        52        27        1        28            0
2210    SUCCESS    6        50        9        19        28            18
1402    SUCCESS    6        53        36        1        37            0
1917    SUCCESS    4        34        45        1        46            0
2038    SUCCESS    5        37        45        1        46            0
183    SUCCESS    3        21        54        1        55            0
906    SUCCESS    5        39        54        1        55            0
590    SUCCESS    6        48        54        1        55            0
2371    SUCCESS    6        53        18        37        55            36
3440    SUCCESS    5        37        18        46        64            45
1772    SUCCESS    5        38        63        1        64            0
5982    SUCCESS    5        41        63        1        64            0
2265    SUCCESS    6        46        63        1        64            0
2209    SUCCESS    6        53        9        55        64            54
594    SUCCESS    1        6        72        1        73            0
4492    SUCCESS    2        10        72        1        73            0
2128    SUCCESS    3        24        72        1        73            0
5155    SUCCESS    3        20        54        19        73            18
305    SUCCESS    4        31        72        1        73            0
4153    SUCCESS    6        51        72        1        73            0
12    SUCCESS    2        17        81        1        82            0
2891    SUCCESS    4        31        9        73        82            72
301    SUCCESS    4        35        81        1        82            0
5237    SUCCESS    6        45        81        1        82            0
1247    SUCCESS    1        8        90        1        91            0
2625    SUCCESS    4        27        99        1        1,00            0
1485    SUCCESS    4        35        18        82        1,00            81
2417    SUCCESS    5        44        99        1        1,00            0
5198    SUCCESS    2        9        1,08        1        1,09            0
4981    SUCCESS    2        11        81        28        1,09            27
6016    SUCCESS    3        24        36        73        1,09            72
2902    SUCCESS    5        42        1,08        1        1,09            0
1457    SUCCESS    6        46        45        64        1,09            63
5784    SUCCESS    1        0        1,17        1        1,18            0
2920    SUCCESS    1        2        1,17        1        1,18            0
71    SUCCESS    2        14        1,17        1        1,18            0
4461    SUCCESS    4        32        90        28        1,18            27
3069    SUCCESS    6        46        9        1,09        1,18            1,08
3623    SUCCESS    1        3        1,26        1        1,27            0
4327    SUCCESS    1        5        1,26        1        1,27            0
1809    SUCCESS    4        34        81        46        1,27            45
518    SUCCESS    4        29        1,26        1        1,27            0
2308    SUCCESS    5        40        1,26        1        1,27            0
4477    SUCCESS    6        49        1,26        1        1,27            0
2106    SUCCESS    1        4        1,35        1        1,36            0
3309    SUCCESS    2        16        1,35        1        1,36            0
1155    SUCCESS    3        20        63        73        1,36            72
4231    SUCCESS    3        23        1,35        1        1,36            0
1967    SUCCESS    3        26        1,35        1        1,36            0
