========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    Waiting Time
2217    SUCCESS    1        0        9        1        10            0
5096    SUCCESS    3        26        9        1        10            0
2748    SUCCESS    6        45        9        1        10            0
6582    SUCCESS    6        50        9        1        10            0
652    SUCCESS    1        5        27        1        28            0
4663    SUCCESS    3        22        27        1        28            0
5102    SUCCESS    3        20        27        1        28            0
5052    SUCCESS    4        33        27        1        28            0
28    SUCCESS    4        35        27        1        28            0
3883    SUCCESS    6        53        27        1        28            0
1300    SUCCESS    1        0        27        10        37            9
5406    SUCCESS    1        1        36        1        37            0
548    SUCCESS    1        5        9        28        37            27
399    SUCCESS    3        24        36        1        37            0
5425    SUCCESS    3        22        18        28        46            27
801    SUCCESS    6        50        36        10        46            9
2596    SUCCESS    1        0        18        37        55            36
4482    SUCCESS    1        4        54        1        55            0
250    SUCCESS    4        32        54        1        55            0
4307    SUCCESS    5        42        54        1        55            0
5614    SUCCESS    6        49        54        1        55            0
1798    SUCCESS    2        17        63        1        64            0
5474    SUCCESS    3        20        36        28        64            27
4708    SUCCESS    2        15        72        1        73            0
5847    SUCCESS    2        10        72        1        73            0
3847    SUCCESS    2        16        72        1        73            0
5249    SUCCESS    2        17        9        64        73            63
25    SUCCESS    3        21        72        1        73            0
1721    SUCCESS    6        47        72        1        73            0
4725    SUCCESS    4        34        81        1        82            0
4317    SUCCESS    6        48        81        1        82            0
1201    SUCCESS    2        11        90        1        91            0
4665    SUCCESS    3        18        90        1        91            0
3031    SUCCESS    1        1        63        37        1,00            36
817    SUCCESS    1        7        99        1        1,00            0
133    SUCCESS    3        20        36        64        1,00            63
4024    SUCCESS    4        30        99        1        1,00            0
3542    SUCCESS    4        29        99        1        1,00            0
4040    SUCCESS    5        41        99        1        1,00            0
4885    SUCCESS    3        22        63        46        1,09            45
5485    SUCCESS    4        31        1,08        1        1,09            0
858    SUCCESS    6        50        63        46        1,09            45
3563    SUCCESS    6        48        36        82        1,18            81
4507    SUCCESS    3        26        1,17        10        1,27            9
515    SUCCESS    4        27        1,26        1        1,27            0
3339    SUCCESS    6        53        99        28        1,27            27
5886    SUCCESS    1        3        1,35        1        1,36            0
4973    SUCCESS    1        8        1,35        1        1,36            0
2365    SUCCESS    5        43        1,35        1        1,36            0
3771    SUCCESS    6        51        1,35        1        1,36            0
111    SUCCESS    1        2        1,44        1        1,45            0
11    SUCCESS    2        14        1,44        1        1,45            0
2671    SUCCESS    3        19        1,44        1        1,45            0
5097    SUCCESS    3        25        1,44        1        1,45            0
6241    SUCCESS    4        32        90        55        1,45            54
103    SUCCESS    6        52        1,44        1        1,45            0
1678    SUCCESS    1        5        1,17        37        1,54            36
6652    SUCCESS    2        13        1,53        1        1,54            0
6233    SUCCESS    3        18        63        91        1,54            90
3320    SUCCESS    3        23        1,53        1        1,54            0
6365    SUCCESS    6        47        81        73        1,54            72
1470    SUCCESS    2        12        1,62        1        1,63            0
1098    SUCCESS    3        20        63        1,00        1,63            99
1593    SUCCESS    4        28        1,62        1        1,63            0
1928    SUCCESS    5        40        1,62        1        1,63            0
4810    SUCCESS    1        4        1,17        55        1,72            54
4138    SUCCESS    4        35        1,44        28        1,72            27
6409    SUCCESS    5        37        1,71        1        1,72            0
3040    SUCCESS    2        17        1,08        73        1,81            72
1008    SUCCESS    5        39        1,80        1        1,81            0
6553    SUCCESS    3        24        1,53        37        1,90            36
5866    SUCCESS    4        32        45        1,45        1,90            1,44
480    SUCCESS    6        52        45        1,45        1,90            1,44
434    SUCCESS    1        5        45        1,54        1,99            1,53
6061    SUCCESS    2        13        45        1,54        1,99            1,53
1434    SUCCESS    4        30        99        1,00        1,99            99
2310    SUCCESS    5        40        36        1,63        1,99            1,62
4478    SUCCESS    6        48        81        1,18        1,99            1,17
378    SUCCESS    1        3        72        1,36        2,08            1,35
2328    SUCCESS    1        6        2,07        1        2,08            0
3946    SUCCESS    1        4        36        1,72        2,08            1,71
6764    SUCCESS    2        10        1,35        73        2,08            72
6834    SUCCESS    4        33        1,80        28        2,08            27
2952    SUCCESS    5        39        27        1,81        2,08            1,80
1742    SUCCESS    2        17        36        1,81        2,17            1,80
639    SUCCESS    6        45        2,07        10        2,17            9
609    SUCCESS    2        11        1,35        91        2,26            90
442    SUCCESS    2        14        81        1,45        2,26            1,44
4238    SUCCESS    3        21        1,53        73        2,26            72
366    SUCCESS    5        36        2,25        1        2,26            0
1774    SUCCESS    6        53        99        1,27        2,26            1,26
5892    SUCCESS    1        1        1,35        1,00        2,35            99
6164    SUCCESS    1        7        1,35        1,00        2,35            99
3960    SUCCESS    3        20        72        1,63        2,35            1,62
2602    SUCCESS    2        15        1,71        73        2,44            72
174    SUCCESS    2        13        45        1,99        2,44            1,98
6449    SUCCESS    3        19        99        1,45        2,44            1,44
1435    SUCCESS    4        29        1,44        1,00        2,44            99
472    SUCCESS    5        36        18        2,26        2,44            2,25
2752    SUCCESS    6        51        1,08        1,36        2,44            1,35
2100    SUCCESS    6        50        1,35        1,09        2,44            1,08
382    SUCCESS    1        5        54        1,99        2,53            1,98
1931    SUCCESS    5        42        2,07        55        2,62            54
374    SUCCESS    6        47        1,08        1,54        2,62            1,53
2715    SUCCESS    2        15        27        2,44        2,71            2,43
2495    SUCCESS    2        14        45        2,26        2,71            2,25
100    SUCCESS    6        47        9        2,62        2,71            2,61
1893    SUCCESS    1        0        2,25        55        2,80            54
2870    SUCCESS    1        2        1,35        1,45        2,80            1,44
2071    SUCCESS    3        25        1,35        1,45        2,80            1,44
911    SUCCESS    6        47        9        2,71        2,80            2,70
2577    SUCCESS    5        43        1,53        1,36        2,89            1,35
3729    SUCCESS    1        4        90        2,08        2,98            2,07
3881    SUCCESS    6        47        18        2,80        2,98            2,79
6583    SUCCESS    6        53        72        2,26        2,98            2,25
4320    SUCCESS    1        4        9        2,98        3,07            2,97
395    SUCCESS    2        17        90        2,17        3,07            2,16
722    SUCCESS    3        23        1,53        1,54        3,07            1,53
3222    SUCCESS    5        39        99        2,08        3,07            2,07
880    SUCCESS    2        10        1,08        2,08        3,16            2,07
6332    SUCCESS    2        17        9        3,07        3,16            3,06
3636    SUCCESS    3        24        1,26        1,90        3,16            1,89
871    SUCCESS    1        7        90        2,35        3,25            2,34
22    SUCCESS    3        19        81        2,44        3,25            2,43
5798    SUCCESS    3        20        90        2,35        3,25            2,34
3918    SUCCESS    4        33        1,17        2,08        3,25            2,07
7168    SUCCESS    5        38        3,24        1        3,25            0
593    SUCCESS    6        45        1,08        2,17        3,25            2,16
4337    SUCCESS    2        12        1,71        1,63        3,34            1,62
3315    SUCCESS    3        23        27        3,07        3,34            3,06
5984    SUCCESS    5        37        1,62        1,72        3,34            1,71
485    SUCCESS    6        51        90        2,44        3,34            2,43
1265    SUCCESS    3        18        1,89        1,54        3,43            1,53
5809    SUCCESS    4        32        1,53        1,90        3,43            1,89
6629    SUCCESS    5        36        99        2,44        3,43            2,43
5504    SUCCESS    6        48        1,44        1,99        3,43            1,98
430    SUCCESS    6        52        1,53        1,90        3,43            1,89
1541    SUCCESS    4        27        2,25        1,27        3,52            1,26
361    SUCCESS    5        37        18        3,34        3,52            3,33
209    SUCCESS    6        45        27        3,25        3,52            3,24
1570    SUCCESS    1        5        1,08        2,53        3,61            2,52
5788    SUCCESS    2        11        1,35        2,26        3,61            2,25
2111    SUCCESS    1        2        90        2,80        3,70            2,79
2724    SUCCESS    3        18        27        3,43        3,70            3,42
1286    SUCCESS    5        40        1,71        1,99        3,70            1,98
4378    SUCCESS    1        4        72        3,07        3,79            3,06
3630    SUCCESS    2        14        1,08        2,71        3,79            2,70
1898    SUCCESS    1        3        1,80        2,08        3,88            2,07
1842    SUCCESS    1        6        1,80        2,08        3,88            2,07
4021    SUCCESS    3        24        72        3,16        3,88            3,15
4130    SUCCESS    3        20        63        3,25        3,88            3,24
5028    SUCCESS    1        1        1,62        2,35        3,97            2,34
2601    SUCCESS    2        13        1,53        2,44        3,97            2,43
2286    SUCCESS    3        25        1,17        2,80        3,97            2,79
526    SUCCESS    5        37        45        3,52        3,97            3,51
4882    SUCCESS    3        23        72        3,34        4,06            3,33
1086    SUCCESS    1        6        36        3,88        4,24            3,87
2143    SUCCESS    5        43        1,35        2,89        4,24            2,88
3233    SUCCESS    6        47        1,26        2,98        4,24            2,97
7047    SUCCESS    4        31        3,24        1,09        4,33            1,08
